apprehension	害怕
anomaly	不正常
averse	反对的
artifact	人造物品
acrimonious	挖苦的，尖酸的（语言，行为）
apathy	冷漠
approbation	同意，批准
affidavit	宣誓书
archetype	原形
abstemious	节制（饮食），调节
assessment	评价，评估；判断
autonomous	自治
amity	友谊
aversion	厌恶，抵制
altercation	大声争吵，激烈争论
automaton	机器人
arsenal	军火库
array	排列，装饰
apolitical	不问政治的
absolve	赦免
alliteration	头韵
abjure	发誓放弃
anguish	极度痛苦
ascertain	确认，确证
apogee	顶点
allusion	暗指，暗示
avalanche	雪崩
annex	附加，并吞
affix	增加，附于
arbitrator	仲裁者
authoritative	权威；独裁
animosity	仇恨
accolade	出名的大奖
adulation	奉承，恭维
appellation	名字，标题
altruistic	无私的，关心他人的
august	威严的；令人印象深刻的
asteroid	小行星
aperture	洞，穴，孔
apostate	变节者，脱党者，叛徒
amend	修订，修改，变更
anchor	固定；锚
attrition	裁员；磨损
admonition	警告
aspire	热望；热心于
allege	断言
abscond	隐匿，逃避，躲债
aloft	向上
autopsy	验尸
ablution	洗
aquiline	弯曲的，钩状的
allegiance	忠诚
amoral	不道德的
anarchist	无政府主义者
accelerate	加速
acquiesce	默许
aboriginal	原来的，土著的
adversary	对手
affliction	痛苦
agenda	议程
accessible	可得到的
arrest	阻止；引起注意；吸引
amulet	护身符
admonish	警告，训斥
amorous	爱情的
adulterate	掺杂
archives	档案；档案馆
apex	高点，顶点，高潮
adorn	装饰
aver	断言
antagonism	反抗，敌对
bristling	竖立的
bedraggle	邋遢的；湿的
quorum	法定人数
bereavement	丧亲
quiver	颤抖；箭筒
bombardment	轰击（导弹）
bogus	赝品
bevy	一群（少女，小鸟）
barb	鱼钩，钩状物
balmy	柔和的；芳香的
beam	光束；铁梁，木梁；一束电波
bemoan	哀叹，悲伤
bellicose	好斗的，好战的
balm	（止痛的）安慰物
bawdy	猥亵的；下流的；卖淫的
buffet	殴打，斗殴
bauble	小玩意儿
blighted	毁灭的
beseech	乞求，恳求
bloated	浮肿
blandishment	阿谀奉承
bantering	开玩笑的
quagmire	沼泽；湿地
bolt	螺栓；逃窜；狼吞虎咽
bludgeon	大头狼牙棒
badger	激怒，纠缠
bequeath	遗赠，（代代）相传
bovine	牛的；迟钝的；耐心的
berserk	疯狂的，狂暴的
bleak	暗淡；凄凉
brusque	唐图；直率；粗暴无礼
bilious	恶心；暴躁
bilk	骗
bent	先天的
bureaucracy	官僚机构
barrage	弹幕，火力网
brunt	冲击
bohemian	不合习俗；放荡不羁
blurt	脱口而出
queasy	恶心的
besmirch	弄脏，玷污
quadruped	四足动物
qualms	不安；良心责备
bode	预兆
bucolic	田园的
bullion	金条，银条
bourgeois	中产阶级；平庸的
bestial	残忍的
beatific	祝福；幸福的
braggart	自夸，吹嘘
bivouac	帐篷
bandy	争吵，乱传
beatitude	祝福
bombastic	夸张的
browse	吃草；浏览
bolster	支持，增援
blanch	漂白
banal	平凡，陈腐，老生常谈
